kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-00502028	NIST AI RMF profiles_removed/measure-2-6/sent_0001
spans-passthrough-candidates/sent_0001-d7c37f20	NIST AI RMF profiles_removed/measure-2-6/sent_0001
spans-passthrough-candidates/sent_0001-fa170d95	NIST AI RMF profiles_removed/measure-2-6/sent_0001
spans-passthrough-candidates/sent_0002-1599a5f7	NIST AI RMF profiles_removed/measure-2-6/sent_0002
spans-passthrough-candidates/sent_0002-e64f68c4	NIST AI RMF profiles_removed/measure-2-6/sent_0002
spans-passthrough-candidates/sent_0002-c720a3d0	NIST AI RMF profiles_removed/measure-2-6/sent_0002
spans-passthrough-candidates/sent_0002-e40e2cd9	NIST AI RMF profiles_removed/measure-2-6/sent_0002
spans-passthrough-candidates/sent_0002-450c05f6	NIST AI RMF profiles_removed/measure-2-6/sent_0002
spans-passthrough-candidates/sent_0002-8fc7288f	NIST AI RMF profiles_removed/measure-2-6/sent_0002
spans-passthrough-candidates/sent_0003-f7adad1d	NIST AI RMF profiles_removed/measure-2-6/sent_0003
spans-passthrough-candidates/sent_0003-1f820905	NIST AI RMF profiles_removed/measure-2-6/sent_0003
spans-passthrough-candidates/sent_0001-2fd0e6c6	NIST AI RMF profiles_removed/measure-2-7/sent_0001
spans-passthrough-candidates/sent_0001-6595d05f	NIST AI RMF profiles_removed/measure-2-7/sent_0001
spans-passthrough-candidates/sent_0001-0ba05875	NIST AI RMF profiles_removed/measure-2-7/sent_0001
spans-passthrough-candidates/sent_0001-93e65ef2	NIST AI RMF profiles_removed/measure-2-7/sent_0001
spans-passthrough-candidates/sent_0001-66738576	NIST AI RMF profiles_removed/measure-2-7/sent_0001
spans-passthrough-candidates/sent_0001-1c789eae	NIST AI RMF profiles_removed/measure-2-7/sent_0001
spans-passthrough-candidates/sent_0002-3e29b98f	NIST AI RMF profiles_removed/measure-2-7/sent_0002
spans-passthrough-candidates/sent_0002-be7496d4	NIST AI RMF profiles_removed/measure-2-7/sent_0002
spans-passthrough-candidates/sent_0002-646c408a	NIST AI RMF profiles_removed/measure-2-7/sent_0002
spans-passthrough-candidates/sent_0002-b01d5fbf	NIST AI RMF profiles_removed/measure-2-7/sent_0002
spans-passthrough-candidates/sent_0003-db562da1	NIST AI RMF profiles_removed/measure-2-7/sent_0003
spans-passthrough-candidates/sent_0003-5eed9d45	NIST AI RMF profiles_removed/measure-2-7/sent_0003
spans-passthrough-candidates/sent_0003-d0061355	NIST AI RMF profiles_removed/measure-2-7/sent_0003
spans-passthrough-candidates/sent_0003-054c30b8	NIST AI RMF profiles_removed/measure-2-7/sent_0003
spans-passthrough-candidates/sent_0003-ab24d682	NIST AI RMF profiles_removed/measure-2-7/sent_0003
spans-passthrough-candidates/sent_0004-7e3d0b7c	NIST AI RMF profiles_removed/measure-2-7/sent_0004
